Domain,Availability,ResponseTime,
blockchainresearchgroup,Yes,350,1C9ZALR5RQBind5rMC6D61YP18To3hJbEURD8C 
sla-cloudservice,Yes,340,1ah8vXUKNRuPgbHVLXn8nTMhwEnkdtACQHXfbP
yahoo,Yes,380,1XsinYypHDTJKVisnoksRqfCRVQJzEDV2w1XYP
ebay,Yes,1200,1QzAhW1dnVwFqzv5kf9ftZhcSeQZJLvMgBh79S
google,Yes,750,1TdbjkVdxkmVc5ooB1kD3rW3hnyrukwBZScTCL 
example,Yes,470,1EZr9V6yKa23FXXtfada5N2en5QHMUZFJ9fx21
paypal,Yes,2200,1aaPdxGt4cZ8iHXNM92DKmKR4N4A8admTfu2eW
bing,Yes,1450,12QfdkbUZm1NoAM5AGe1nT7oZnzibifwmWqz1R
techcrunch,Yes,500,1AFP6ppHaAZQ22cWjNotoct5V1ZYBFNGELzw5G
mashable,Yes,1000,1GzjFv3AXpZnfoQgtar5twRTVtEYXA4jmJgzMm
