Domain,Availability,ResponseTime
blockchainresearchgroup,Yes,500,1C9ZALR5RQBind5rMC6D61YP18To3hJbEURD8C 
sla-cloudservice,Yes,500,1ah8vXUKNRuPgbHVLXn8nTMhwEnkdtACQHXfbP
yahoo,Yes,580,1XsinYypHDTJKVisnoksRqfCRVQJzEDV2w1XYP
ebay,Yes,1200,1QzAhW1dnVwFqzv5kf9ftZhcSeQZJLvMgBh79S
google,Yes,750,1TdbjkVdxkmVc5ooB1kD3rW3hnyrukwBZScTCL 
example,Yes,470,1EZr9V6yKa23FXXtfada5N2en5QHMUZFJ9fx21
paypal,Yes,2200,1aaPdxGt4cZ8iHXNM92DKmKR4N4A8admTfu2eW
bing,Yes,1450,12QfdkbUZm1NoAM5AGe1nT7oZnzibifwmWqz1R
techcrunch,Yes,500,1AFP6ppHaAZQ22cWjNotoct5V1ZYBFNGELzw5G
mashable,Yes,1000,1GzjFv3AXpZnfoQgtar5twRTVtEYXA4jmJgzMm
thenextweb,Yes,500,15erByBtCxYaPSRnAWQpwwWcyGLo5RAno7VXto
wordpress.com,Yes,520,1V8i3Sh2sbbn27Yq4fsYiRFuvstuLfDYnDWnEi
wordpress.org,Yes,420,1bGd1BY53UjydKQNfHQKUZyM3xuUuwnXWz49K3
ned,Yes,420,1LEFT49TeJCr2F2Jm7KvLWJ1LA4vCWNbvHXAJC
hec,Yes,630,1DM728p5bcWt2EGKBRc9cP4BC16rmSN14s6rXL
